run,gen,avg_fitness,max_fitness,min_fitness,avg_size
run1,0,0.0008165447245098698,0.012673079098042704,-0.0009495266505829426,6.591666666666667
run1,1,0.001615817816572972,0.012673079098042704,-0.00039283107709819036,8.383333333333333
run1,2,0.0027001631281614114,0.03182037386673109,-0.0008099008801569374,9.566666666666666
run1,3,0.004031271565884938,0.03182037386673109,-0.00022899645113297324,11.485
run1,4,0.005233033459989854,0.03182037386673109,-0.0006867313569244608,12.02
run1,5,0.00711928537903397,0.1131823103481739,-0.0005136535703183722,11.563333333333333
run1,6,0.009491555277696111,0.1131823103481739,-0.00041999968376322193,11.906666666666666
run1,7,0.012776565484723794,0.1220851507383899,-0.0006020668592484723,11.12
run1,8,0.01560039993262282,0.1220851507383899,-0.0006080695238338403,11.533333333333333
run1,9,0.018898266751059666,0.1220851507383899,-0.0003511715459191969,12.31
run1,10,0.023637279160467973,0.22307570869679622,-0.0007488120790174099,12.848333333333333
run1,11,0.03146337814602815,0.22307570869679622,-0.0002993387335790147,14.343333333333334
run1,12,0.04538199350154713,0.2302528488129055,-0.0006556945732947806,15.62
run1,13,0.06549603278087367,0.260337762048769,-0.0003409018612999941,14.945
run1,14,0.10037306221904602,0.260337762048769,-0.00037582007669136015,13.34
run1,15,0.1388648432246146,0.26063730133956586,-0.0005776224562177312,10.773333333333333
run1,16,0.16799760327925545,0.26063730133956586,-0.0003311399777544741,11.108333333333333
run1,17,0.19727663299870904,0.26063730133956586,-0.00032158273233717804,11.651666666666667
run1,18,0.22347612666129282,0.2658743440677626,-0.00016830525585378287,12.793333333333333
run1,19,0.23317194433425562,0.2671654183482018,-0.0005792120727165186,13.548333333333334
run1,20,0.24152242949133204,0.2671654183482018,-0.0007865999858831279,14.946666666666667
run1,21,0.24614797674399386,0.2671654183482018,-0.0003878437042057545,16.261666666666667
run1,22,0.24827800949960305,0.2671654183482018,-0.00021561833767124426,16.473333333333333
run1,23,0.2507058285695419,0.2671654183482018,-0.00024140155732857302,16.74
run1,24,0.2518939383577759,0.2671654183482018,-0.00026908391548965564,18.991666666666667
run1,25,0.25314980565127343,0.2671654183482018,-0.00035983005453660863,17.64
run1,26,0.25465628218004316,0.267553180735796,-0.0006904967211104609,15.448333333333334
run1,27,0.25361201413880813,0.26773318073579594,-0.0005806175714368374,14.125
run1,28,0.25516796795732394,0.26773318073579594,-0.0005902805916381343,13.123333333333333
run1,29,0.23695430965975292,0.2733364404757613,-0.0006846981163101523,11.53
run1,30,0.23857512244635967,0.2733364404757613,-0.0007899266849485768,11.408333333333333
run1,31,0.23782078635071321,0.27487627850895546,-0.0005526580077566838,11.4
run1,32,0.2358379264256647,0.27487627850895546,-0.0005492199519999157,11.348333333333333
run1,33,0.23793146839839047,0.27487627850895546,-0.0007118399888745008,11.408333333333333
run1,34,0.2380913671497253,0.2750110216970401,-0.0007353040445874039,11.496666666666666
run1,35,0.23840128143094544,0.2750110216970401,-0.0008075148935391737,11.606666666666667
run1,36,0.23763096724461893,0.2750710216970401,-0.00039639401902926406,11.563333333333333
run1,37,0.23974302831494163,0.2750710216970401,-0.0005133610193564127,12.255
run1,38,0.23874511848377672,0.2750710216970401,-0.0005663671775119063,12.83
run1,39,0.2405416895424377,0.2750710216970401,-0.00047860304744753806,13.18
run1,40,0.2428381713788009,0.2750710216970401,-0.0005511137571696589,13.87
run1,41,0.26199276478394373,0.2750710216970401,-0.00035179324115808334,15.335
run1,42,0.2426043623851345,0.2750710216970401,-0.0006274610154843416,15.373333333333333
run1,43,0.26298854515307823,0.2750710216970401,-0.000273656252169822,15.696666666666667
run1,44,0.2439167537212855,0.27530124144259016,-0.0005388319347158822,14.635
run1,45,0.26220419187748556,0.27530124144259016,-0.00036852027285773646,14.835
run1,46,0.24396885882347452,0.27530124144259016,-0.0008137838903097962,13.981666666666667
run1,47,0.263523879535441,0.2791210784693331,-0.0007385732159486176,14.693333333333333
run1,48,0.24440231420441774,0.2791210784693331,-0.0012359361823738417,14.255
run1,49,0.2618100988485448,0.2791210784693331,-0.000251436052108088,14.761666666666667
run1,50,0.24321244038737946,0.2791210784693331,-0.0006991569857101184,14.31
run1,51,0.2623576377936777,0.2791210784693331,-0.0006699851316487096,15.498333333333333
run1,52,0.24382571346712648,0.2791210784693331,-0.0004438588921180924,15.336666666666666
run1,53,0.26270811473619304,0.2804254486163854,-0.0005301779741373845,16.721666666666668
run1,54,0.2652897218124707,0.2804254486163854,-0.0007779678743480935,16.80666666666667
run1,55,0.26451919182822836,0.28051952393890417,-0.0009291357760487635,15.935
run1,56,0.24558586027116328,0.28051952393890417,-0.00046903302556151915,14.738333333333333
run1,57,0.24667883933405446,0.28051952393890417,-0.0008294817347432865,14.655
run1,58,0.2482958419246807,0.2842561476229119,-0.0008231637385879077,14.321666666666667
run1,59,0.24733859445726486,0.2842561476229119,-0.00079306749132957,14.25
run1,60,0.247106569743458,0.2842561476229119,-0.00042487202911753463,14.256666666666666
run1,61,0.24982902330813295,0.2842561476229119,-0.0005086417596815907,14.813333333333333
run1,62,0.24933812340088143,0.2842561476229119,-0.0005622582441765717,15.096666666666666
run1,63,0.24897559371903982,0.28457832107659486,-0.0006741566134248178,15.378333333333334
run1,64,0.2680269084996643,0.28457832107659486,-0.0003648992674841527,15.86
run1,65,0.25036106315493833,0.28457832107659486,-0.0008793888000250308,14.74
run1,66,0.25011590267197753,0.28457832107659486,-0.0009738398758841311,14.445
run1,67,0.25215942026704996,0.2899092698808855,-0.00041056913013389715,14.221666666666666
run1,68,0.2529692857009094,0.2899092698808855,-0.0005957245428318518,14.628333333333334
run1,69,0.2509530024669786,0.2929150418778929,-0.0006697939893613782,14.78
run1,70,0.25195540941715644,0.2929150418778929,-0.0006671978655227831,16.133333333333333
run1,71,0.2543302910696158,0.2929150418778929,-0.000683241245961569,17.723333333333333
run1,72,0.2524085176484346,0.2929150418778929,-0.0008946983918576318,22.115
run1,73,0.2726744135307565,0.29392741727545385,-0.00048660745574546547,32.95666666666666
run1,74,0.2765213565884332,0.29392741727545385,-0.0003599178398653951,43.836666666666666
run1,75,0.27776694156401843,0.29764210841052513,-0.0004892557876171041,38.825
run1,76,0.2770226445211647,0.30039755626520015,-0.0005005171482803886,35.68333333333333
run1,77,0.2788496845053233,0.30039755626520015,-0.00031308042391229153,33.651666666666664
run1,78,0.27928335606135263,0.30039755626520015,-0.001132155057534516,29.456666666666667
run1,79,0.28027662796457464,0.30039755626520015,-0.0005972741150778481,25.183333333333334
